timestamp,pH,turbidez_NTU,temperatura_C
2025-05-13 07:30:00-03:00,7.093,3.99,24.26
2025-05-13 07:45:00-03:00,7.189,3.89,23.54
2025-05-13 08:00:00-03:00,7.271,3.7,23.73
2025-05-13 08:15:00-03:00,7.232,4.45,23.43
2025-05-13 08:30:00-03:00,7.255,4.14,23.68
2025-05-13 08:45:00-03:00,7.281,4.42,23.51
2025-05-13 09:00:00-03:00,7.232,2.93,23.53
2025-05-13 09:15:00-03:00,7.271,3.95,23.63
2025-05-13 09:30:00-03:00,7.167,4.14,23.38
2025-05-13 09:45:00-03:00,7.295,3.95,23.17
2025-05-13 10:00:00-03:00,7.174,3.89,23.31
2025-05-13 10:15:00-03:00,7.232,4.47,23.01
2025-05-13 10:30:00-03:00,7.184,4.47,22.75
2025-05-13 10:45:00-03:00,7.289,3.44,22.67
2025-05-13 11:00:00-03:00,7.213,3.9,22.61
2025-05-13 11:15:00-03:00,7.179,3.4,22.4
2025-05-13 11:30:00-03:00,7.129,3.27,21.95
2025-05-13 11:45:00-03:00,7.284,3.91,22.13
2025-05-13 12:00:00-03:00,7.225,4.89,21.86
2025-05-13 12:15:00-03:00,7.197,3.57,21.83
2025-05-13 12:30:00-03:00,7.249,4.09,21.57
2025-05-13 12:45:00-03:00,7.23,3.68,21.4
2025-05-13 13:00:00-03:00,7.174,3.89,21.57
2025-05-13 13:15:00-03:00,7.216,4.51,21.25
2025-05-13 13:30:00-03:00,7.152,3.76,21.24
2025-05-13 13:45:00-03:00,7.19,3.98,20.83
2025-05-13 14:00:00-03:00,7.225,3.86,20.84
2025-05-13 14:15:00-03:00,7.159,3.29,20.71
2025-05-13 14:30:00-03:00,7.206,3.76,20.72
2025-05-13 14:45:00-03:00,7.202,2.66,20.95
2025-05-13 15:00:00-03:00,7.18,4.27,20.71
2025-05-13 15:15:00-03:00,7.158,4.83,20.25
2025-05-13 15:30:00-03:00,7.215,3.29,20.36
2025-05-13 15:45:00-03:00,7.179,3.77,20.33
2025-05-13 16:00:00-03:00,7.08,4.15,20.32
2025-05-13 16:15:00-03:00,7.161,4.63,20.15
2025-05-13 16:30:00-03:00,7.105,4.41,20.24
2025-05-13 16:45:00-03:00,7.199,3.99,20.36
2025-05-13 17:00:00-03:00,7.18,4.51,20.18
2025-05-13 17:15:00-03:00,7.192,3.24,19.81
2025-05-13 17:30:00-03:00,7.198,3.01,20.36
2025-05-13 17:45:00-03:00,7.207,3.79,20.03
2025-05-13 18:00:00-03:00,7.18,4.27,19.78
2025-05-13 18:15:00-03:00,7.18,4.26,19.84
2025-05-13 18:30:00-03:00,7.2,3.5,19.9
2025-05-13 18:45:00-03:00,7.145,3.73,19.88
2025-05-13 19:00:00-03:00,7.158,4.17,19.94
2025-05-13 19:15:00-03:00,7.235,3.68,20.25
2025-05-13 19:30:00-03:00,7.276,4.22,20.22
2025-05-13 19:45:00-03:00,7.22,3.23,20.02
2025-05-13 20:00:00-03:00,7.238,4.01,20.21
2025-05-13 20:15:00-03:00,7.305,4.27,19.97
2025-05-13 20:30:00-03:00,7.113,3.92,20.14
2025-05-13 20:45:00-03:00,7.185,3.73,20.2
2025-05-13 21:00:00-03:00,7.169,3.38,20.85
2025-05-13 21:15:00-03:00,7.211,4.29,20.49
2025-05-13 21:30:00-03:00,7.101,5.19,20.74
2025-05-13 21:45:00-03:00,7.199,4.03,20.87
2025-05-13 22:00:00-03:00,7.182,3.86,21.28
2025-05-13 22:15:00-03:00,7.209,3.41,21.17
2025-05-13 22:30:00-03:00,7.154,4.42,21.3
2025-05-13 22:45:00-03:00,7.214,4.15,21.2
2025-05-13 23:00:00-03:00,7.158,3.4,21.71
2025-05-13 23:15:00-03:00,7.166,3.57,21.59
2025-05-13 23:30:00-03:00,7.18,3.12,21.32
2025-05-13 23:45:00-03:00,7.157,4.09,21.96
2025-05-14 00:00:00-03:00,7.204,3.96,21.65
2025-05-14 00:15:00-03:00,7.19,3.79,21.76
2025-05-14 00:30:00-03:00,7.166,4.45,22.37
2025-05-14 00:45:00-03:00,7.207,3.4,22.39
2025-05-14 01:00:00-03:00,7.221,4.27,22.8
2025-05-14 01:15:00-03:00,7.229,4.03,22.86
2025-05-14 01:30:00-03:00,7.089,3.33,22.79
2025-05-14 01:45:00-03:00,7.265,4.2,23.04
2025-05-14 02:00:00-03:00,7.171,3.46,22.78
2025-05-14 02:15:00-03:00,7.302,4.39,23.27
2025-05-14 02:30:00-03:00,7.181,3.79,23.44
2025-05-14 02:45:00-03:00,7.289,3.76,23.44
2025-05-14 03:00:00-03:00,7.248,4.43,23.2
2025-05-14 03:15:00-03:00,7.318,5.06,23.46
2025-05-14 03:30:00-03:00,7.192,3.89,23.86
2025-05-14 03:45:00-03:00,7.164,4.37,23.71
2025-05-14 04:00:00-03:00,7.077,3.57,23.88
2025-05-14 04:15:00-03:00,7.114,4.21,23.73
2025-05-14 04:30:00-03:00,7.166,3.48,24.0
2025-05-14 04:45:00-03:00,7.129,3.27,24.09
2025-05-14 05:00:00-03:00,7.2,3.83,23.96
2025-05-14 05:15:00-03:00,7.14,4.06,24.24
2025-05-14 05:30:00-03:00,7.298,4.16,24.28
2025-05-14 05:45:00-03:00,7.162,3.45,23.94
2025-05-14 06:00:00-03:00,7.229,3.47,24.18
2025-05-14 06:15:00-03:00,7.173,3.58,24.06
2025-05-14 06:30:00-03:00,7.223,3.49,23.74
2025-05-14 06:45:00-03:00,7.18,4.18,23.54
2025-05-14 07:00:00-03:00,7.243,4.05,24.08
2025-05-14 07:15:00-03:00,7.284,3.78,24.2
2025-05-14 07:30:00-03:00,7.129,4.32,23.46
2025-05-14 07:45:00-03:00,7.233,4.74,23.78
2025-05-14 08:00:00-03:00,7.255,3.21,23.7
2025-05-14 08:15:00-03:00,7.251,4.38,23.71
2025-05-14 08:30:00-03:00,7.19,3.89,23.66
2025-05-14 08:45:00-03:00,7.225,4.05,23.65
2025-05-14 09:00:00-03:00,7.176,3.28,23.72
2025-05-14 09:15:00-03:00,7.21,3.47,22.98
2025-05-14 09:30:00-03:00,7.221,4.32,23.43
2025-05-14 09:45:00-03:00,7.088,4.51,23.16
2025-05-14 10:00:00-03:00,7.257,4.02,22.67
2025-05-14 10:15:00-03:00,7.215,4.84,23.16
2025-05-14 10:30:00-03:00,7.18,3.77,22.81
2025-05-14 10:45:00-03:00,7.254,4.38,22.44
2025-05-14 11:00:00-03:00,7.201,4.68,22.32
2025-05-14 11:15:00-03:00,7.242,4.29,22.86
2025-05-14 11:30:00-03:00,7.265,3.9,22.17
2025-05-14 11:45:00-03:00,7.157,3.88,22.08
2025-05-14 12:00:00-03:00,7.193,4.12,21.6
2025-05-14 12:15:00-03:00,7.173,3.39,21.69
2025-05-14 12:30:00-03:00,7.168,4.18,21.63
2025-05-14 12:45:00-03:00,7.219,4.35,21.81
2025-05-14 13:00:00-03:00,7.113,4.41,21.76
2025-05-14 13:15:00-03:00,7.242,4.67,21.23
2025-05-14 13:30:00-03:00,7.215,3.56,21.3
2025-05-14 13:45:00-03:00,7.151,4.03,21.31
2025-05-14 14:00:00-03:00,7.201,3.64,21.27
2025-05-14 14:15:00-03:00,7.198,3.65,21.14
2025-05-14 14:30:00-03:00,7.232,2.72,20.58
2025-05-14 14:45:00-03:00,7.202,3.78,20.82
2025-05-14 15:00:00-03:00,7.208,4.15,20.75
2025-05-14 15:15:00-03:00,7.259,3.91,20.2
2025-05-14 15:30:00-03:00,7.246,3.97,20.56
2025-05-14 15:45:00-03:00,7.204,5.18,20.13
2025-05-14 16:00:00-03:00,7.259,4.0,20.16
2025-05-14 16:15:00-03:00,7.223,3.44,20.08
2025-05-14 16:30:00-03:00,7.163,4.06,20.27
2025-05-14 16:45:00-03:00,7.253,4.48,20.0
2025-05-14 17:00:00-03:00,7.17,4.29,20.17
2025-05-14 17:15:00-03:00,7.183,3.19,19.92
2025-05-14 17:30:00-03:00,7.149,3.92,20.56
2025-05-14 17:45:00-03:00,7.201,3.85,20.32
2025-05-14 18:00:00-03:00,7.163,3.9,19.63
2025-05-14 18:15:00-03:00,7.199,3.63,20.37
2025-05-14 18:30:00-03:00,7.176,3.73,19.85
2025-05-14 18:45:00-03:00,7.248,4.36,19.95
2025-05-14 19:00:00-03:00,7.206,4.01,19.94
2025-05-14 19:15:00-03:00,7.211,3.88,20.2
2025-05-14 19:30:00-03:00,7.242,3.67,19.99
2025-05-14 19:45:00-03:00,7.197,3.91,20.32
2025-05-14 20:00:00-03:00,7.191,3.35,20.31
2025-05-14 20:15:00-03:00,7.304,3.74,19.89
2025-05-14 20:30:00-03:00,7.223,4.85,20.18
2025-05-14 20:45:00-03:00,7.244,3.56,20.56
2025-05-14 21:00:00-03:00,7.212,4.48,20.44
2025-05-14 21:15:00-03:00,7.267,3.93,21.02
2025-05-14 21:30:00-03:00,7.153,4.1,20.63
2025-05-14 21:45:00-03:00,7.25,3.52,21.19
2025-05-14 22:00:00-03:00,7.283,3.58,21.13
2025-05-14 22:15:00-03:00,7.274,4.37,21.2
2025-05-14 22:30:00-03:00,7.296,3.21,21.15
2025-05-14 22:45:00-03:00,7.204,3.64,21.23
2025-05-14 23:00:00-03:00,7.185,3.63,21.39
2025-05-14 23:15:00-03:00,7.151,4.59,21.84
2025-05-14 23:30:00-03:00,7.218,4.28,21.63
2025-05-14 23:45:00-03:00,7.144,4.72,22.53
2025-05-15 00:00:00-03:00,7.264,3.83,21.87
2025-05-15 00:15:00-03:00,7.215,3.39,22.22
2025-05-15 00:30:00-03:00,7.214,3.63,22.19
2025-05-15 00:45:00-03:00,7.257,3.43,22.06
2025-05-15 01:00:00-03:00,7.339,3.35,22.99
2025-05-15 01:15:00-03:00,7.185,4.08,22.44
2025-05-15 01:30:00-03:00,7.156,3.75,22.95
2025-05-15 01:45:00-03:00,7.182,3.88,22.85
2025-05-15 02:00:00-03:00,7.22,3.43,23.22
2025-05-15 02:15:00-03:00,7.224,4.57,22.8
2025-05-15 02:30:00-03:00,7.208,3.36,23.13
2025-05-15 02:45:00-03:00,7.237,4.25,23.62
2025-05-15 03:00:00-03:00,7.305,3.52,23.71
2025-05-15 03:15:00-03:00,7.169,3.74,23.69
2025-05-15 03:30:00-03:00,7.254,4.43,23.54
2025-05-15 03:45:00-03:00,7.16,4.3,23.55
2025-05-15 04:00:00-03:00,7.222,5.17,24.03
2025-05-15 04:15:00-03:00,7.155,4.04,23.92
2025-05-15 04:30:00-03:00,7.146,4.27,23.67
2025-05-15 04:45:00-03:00,7.19,4.32,24.0
2025-05-15 05:00:00-03:00,7.197,3.77,23.51
2025-05-15 05:15:00-03:00,7.143,3.87,23.95
2025-05-15 05:30:00-03:00,7.221,3.59,24.13
2025-05-15 05:45:00-03:00,7.053,3.62,23.89
2025-05-15 06:00:00-03:00,7.249,4.01,23.91
2025-05-15 06:15:00-03:00,7.216,4.68,24.07
2025-05-15 06:30:00-03:00,7.181,4.78,24.5
2025-05-15 06:45:00-03:00,7.13,4.03,24.24
2025-05-15 07:00:00-03:00,7.152,3.87,23.95
2025-05-15 07:15:00-03:00,7.177,3.97,23.96
2025-05-15 07:30:00-03:00,7.221,3.64,23.82
2025-05-15 07:45:00-03:00,7.265,3.63,23.84
2025-05-15 08:00:00-03:00,7.203,3.06,23.77
2025-05-15 08:15:00-03:00,7.136,4.04,23.54
2025-05-15 08:30:00-03:00,7.248,4.46,23.62
2025-05-15 08:45:00-03:00,7.219,4.21,23.67
2025-05-15 09:00:00-03:00,7.183,4.2,23.48
2025-05-15 09:15:00-03:00,7.138,3.81,23.43
2025-05-15 09:30:00-03:00,7.231,3.83,23.44
2025-05-15 09:45:00-03:00,7.167,4.22,22.86
2025-05-15 10:00:00-03:00,7.222,4.39,22.81
2025-05-15 10:15:00-03:00,7.177,5.03,22.68
2025-05-15 10:30:00-03:00,7.105,3.44,22.56
2025-05-15 10:45:00-03:00,7.274,4.42,22.6
2025-05-15 11:00:00-03:00,7.213,2.71,22.74
2025-05-15 11:15:00-03:00,7.19,4.68,22.51
2025-05-15 11:30:00-03:00,7.156,4.91,22.39
2025-05-15 11:45:00-03:00,7.273,3.62,22.07
2025-05-15 12:00:00-03:00,7.22,4.54,22.26
2025-05-15 12:15:00-03:00,7.171,4.35,21.9
2025-05-15 12:30:00-03:00,7.202,3.5,21.8
2025-05-15 12:45:00-03:00,7.245,4.76,21.6
2025-05-15 13:00:00-03:00,7.227,3.98,21.05
2025-05-15 13:15:00-03:00,7.2,3.72,21.45
2025-05-15 13:30:00-03:00,7.242,3.7,21.26
2025-05-15 13:45:00-03:00,7.187,4.38,21.2
2025-05-15 14:00:00-03:00,7.095,3.87,20.89
2025-05-15 14:15:00-03:00,7.2,3.49,20.86
2025-05-15 14:30:00-03:00,7.271,4.31,20.68
2025-05-15 14:45:00-03:00,7.211,4.26,20.77
2025-05-15 15:00:00-03:00,7.141,4.31,20.74
2025-05-15 15:15:00-03:00,7.264,4.26,20.59
2025-05-15 15:30:00-03:00,7.232,3.92,20.35
2025-05-15 15:45:00-03:00,7.184,4.42,20.22
2025-05-15 16:00:00-03:00,7.245,3.99,20.23
2025-05-15 16:15:00-03:00,7.226,4.0,19.91
2025-05-15 16:30:00-03:00,7.238,4.0,20.29
2025-05-15 16:45:00-03:00,7.19,4.47,19.91
2025-05-15 17:00:00-03:00,7.234,3.46,20.11
2025-05-15 17:15:00-03:00,7.077,3.71,19.98
2025-05-15 17:30:00-03:00,7.205,3.7,19.92
2025-05-15 17:45:00-03:00,7.19,4.9,20.25
2025-05-15 18:00:00-03:00,7.273,4.11,19.7
2025-05-15 18:15:00-03:00,7.209,3.68,19.91
2025-05-15 18:30:00-03:00,7.24,3.98,19.81
2025-05-15 18:45:00-03:00,7.183,3.72,20.04
2025-05-15 19:00:00-03:00,7.236,3.43,19.92
2025-05-15 19:15:00-03:00,7.125,3.34,19.82
2025-05-15 19:30:00-03:00,7.199,4.2,20.31
2025-05-15 19:45:00-03:00,7.269,4.15,20.49
2025-05-15 20:00:00-03:00,7.155,4.08,20.47
2025-05-15 20:15:00-03:00,7.223,3.8,20.57
2025-05-15 20:30:00-03:00,7.192,3.98,20.18
2025-05-15 20:45:00-03:00,7.25,4.47,20.29
2025-05-15 21:00:00-03:00,7.154,4.31,20.8
2025-05-15 21:15:00-03:00,7.199,4.09,20.69
2025-05-15 21:30:00-03:00,7.176,3.49,20.61
2025-05-15 21:45:00-03:00,7.249,3.86,21.11
2025-05-15 22:00:00-03:00,7.176,4.2,21.03
2025-05-15 22:15:00-03:00,7.178,3.86,20.95
2025-05-15 22:30:00-03:00,7.212,4.66,20.79
2025-05-15 22:45:00-03:00,7.301,3.63,21.5
2025-05-15 23:00:00-03:00,7.253,3.68,21.82
2025-05-15 23:15:00-03:00,7.255,4.76,21.28
2025-05-15 23:30:00-03:00,7.134,4.45,21.75
2025-05-15 23:45:00-03:00,7.185,4.68,22.19
2025-05-16 00:00:00-03:00,7.159,3.7,21.91
2025-05-16 00:15:00-03:00,7.168,4.27,21.73
2025-05-16 00:30:00-03:00,7.224,3.24,22.09
2025-05-16 00:45:00-03:00,7.186,4.07,22.42
2025-05-16 01:00:00-03:00,7.192,3.13,22.87
2025-05-16 01:15:00-03:00,7.267,3.92,22.65
2025-05-16 01:30:00-03:00,7.248,5.02,22.96
2025-05-16 01:45:00-03:00,7.155,3.76,22.78
2025-05-16 02:00:00-03:00,7.231,4.19,22.66
2025-05-16 02:15:00-03:00,7.188,4.3,23.4
2025-05-16 02:30:00-03:00,7.149,3.6,23.38
2025-05-16 02:45:00-03:00,7.26,4.94,23.41
2025-05-16 03:00:00-03:00,7.184,3.93,23.37
2025-05-16 03:15:00-03:00,7.148,4.34,23.57
2025-05-16 03:30:00-03:00,7.198,3.52,23.62
2025-05-16 03:45:00-03:00,7.236,3.45,23.76
2025-05-16 04:00:00-03:00,7.181,4.5,23.77
2025-05-16 04:15:00-03:00,7.183,4.23,23.72
2025-05-16 04:30:00-03:00,7.255,3.2,23.93
2025-05-16 04:45:00-03:00,7.161,3.33,24.03
2025-05-16 05:00:00-03:00,7.201,3.43,23.72
2025-05-16 05:15:00-03:00,7.175,2.75,23.81
2025-05-16 05:30:00-03:00,7.179,4.64,23.87
2025-05-16 05:45:00-03:00,7.236,4.18,24.14
2025-05-16 06:00:00-03:00,7.147,4.51,23.79
2025-05-16 06:15:00-03:00,7.242,3.89,24.18
2025-05-16 06:30:00-03:00,7.171,4.48,23.91
2025-05-16 06:45:00-03:00,7.226,3.52,23.87
2025-05-16 07:00:00-03:00,7.259,3.12,24.08
2025-05-16 07:15:00-03:00,7.24,4.11,23.53
2025-05-16 07:30:00-03:00,7.201,3.36,23.6
2025-05-16 07:45:00-03:00,7.206,4.12,23.99
2025-05-16 08:00:00-03:00,7.179,3.36,23.72
2025-05-16 08:15:00-03:00,7.283,4.77,23.77
2025-05-16 08:30:00-03:00,7.177,4.26,23.92
2025-05-16 08:45:00-03:00,7.22,3.11,23.44
2025-05-16 09:00:00-03:00,7.217,3.94,23.29
2025-05-16 09:15:00-03:00,7.145,3.51,23.58
2025-05-16 09:30:00-03:00,7.168,4.34,22.81
2025-05-16 09:45:00-03:00,7.184,4.54,23.02
2025-05-16 10:00:00-03:00,7.25,3.54,23.34
2025-05-16 10:15:00-03:00,7.177,3.18,22.99
2025-05-16 10:30:00-03:00,7.263,4.24,22.54
2025-05-16 10:45:00-03:00,7.045,4.78,22.66
2025-05-16 11:00:00-03:00,7.203,3.9,22.75
2025-05-16 11:15:00-03:00,7.226,4.9,22.54
2025-05-16 11:30:00-03:00,7.196,3.82,21.84
2025-05-16 11:45:00-03:00,7.175,4.18,22.07
2025-05-16 12:00:00-03:00,7.247,4.38,21.93
2025-05-16 12:15:00-03:00,7.231,3.72,21.92
2025-05-16 12:30:00-03:00,7.15,4.19,21.73
2025-05-16 12:45:00-03:00,7.263,3.58,21.33
2025-05-16 13:00:00-03:00,7.233,3.45,21.78
2025-05-16 13:15:00-03:00,7.215,4.14,21.29
2025-05-16 13:30:00-03:00,7.136,4.42,21.26
2025-05-16 13:45:00-03:00,7.268,3.86,21.08
2025-05-16 14:00:00-03:00,7.245,3.85,21.12
2025-05-16 14:15:00-03:00,7.194,4.79,20.8
2025-05-16 14:30:00-03:00,7.21,3.95,20.81
2025-05-16 14:45:00-03:00,7.124,3.47,20.61
2025-05-16 15:00:00-03:00,7.209,4.23,20.51
2025-05-16 15:15:00-03:00,7.188,4.4,20.28
2025-05-16 15:30:00-03:00,7.215,4.44,20.78
2025-05-16 15:45:00-03:00,7.23,3.17,20.4
2025-05-16 16:00:00-03:00,7.156,4.02,20.27
2025-05-16 16:15:00-03:00,7.151,3.36,20.36
2025-05-16 16:30:00-03:00,7.195,3.93,20.09
2025-05-16 16:45:00-03:00,7.267,4.31,20.43
2025-05-16 17:00:00-03:00,7.182,4.79,20.33
2025-05-16 17:15:00-03:00,7.235,3.83,19.93
2025-05-16 17:30:00-03:00,7.146,3.47,19.86
2025-05-16 17:45:00-03:00,7.201,3.03,19.79
2025-05-16 18:00:00-03:00,7.151,3.99,20.15
2025-05-16 18:15:00-03:00,7.211,4.38,20.34
2025-05-16 18:30:00-03:00,7.211,4.14,20.15
2025-05-16 18:45:00-03:00,7.243,3.48,20.0
2025-05-16 19:00:00-03:00,7.176,4.02,20.36
2025-05-16 19:15:00-03:00,7.185,3.57,20.08
2025-05-16 19:30:00-03:00,7.18,4.21,19.91
2025-05-16 19:45:00-03:00,7.159,5.48,20.27
2025-05-16 20:00:00-03:00,7.229,4.78,20.41
2025-05-16 20:15:00-03:00,7.185,4.62,20.49
2025-05-16 20:30:00-03:00,7.219,3.7,20.56
2025-05-16 20:45:00-03:00,7.192,3.71,20.3
2025-05-16 21:00:00-03:00,7.164,3.89,20.89
2025-05-16 21:15:00-03:00,7.205,4.28,20.8
2025-05-16 21:30:00-03:00,7.229,4.9,20.6
2025-05-16 21:45:00-03:00,7.202,4.91,20.56
2025-05-16 22:00:00-03:00,7.139,4.35,20.92
2025-05-16 22:15:00-03:00,7.119,3.42,21.33
2025-05-16 22:30:00-03:00,7.206,3.71,20.95
2025-05-16 22:45:00-03:00,7.123,4.68,21.13
2025-05-16 23:00:00-03:00,7.247,3.42,21.75
2025-05-16 23:15:00-03:00,7.151,3.59,21.6
2025-05-16 23:30:00-03:00,7.255,4.74,21.6
2025-05-16 23:45:00-03:00,7.22,3.93,22.15
2025-05-17 00:00:00-03:00,7.218,6.23,21.91
